IDAtracacao;TEsperaAtracacao;TEsperaInicioOp;TOperacao;TEsperaDesatracacao;TAtracado;TEstadia
1534490;0,63333333330229;1,8666666668141;40,716666666674;4,6166666665231;47,200000000012;47,833333333314
1554749;0,66666666674428;2,8333333333139;53,449999999953;3,9166666666861;60,199999999953;60,866666666698
1554748;0,63333333330229;11,616666666814;35,399999999965;1,7666666666628;48,783333333442;49,416666666744
1594638;0,91666666668607;1,4333333332906;39,316666666651;3,9166666666861;44,666666666628;45,583333333314
1572553;13,166666666628;1,9166666668025;43,666666666511;12,166666666686;57,75;70,916666666628
1572564;0,73333333345363;1,8666666666395;45,566666666593;24;71,433333333232;72,166666666686
1572535;0,78333333326736;1,7166666666744;42,333333333372;37,166666666628;81,216666666674;81,999999999942
1572555;0,66666666674428;1,8333333331975;40,166666666802;12,333333333198;54,333333333198;54,999999999942
1584537;0,6166666665813;1,6333333334187;36,766666666546;1,4833333334536;39,883333333419;40,5
1615037;0,89999999996508;3,8999999999651;36,533333333326;2,25;42,683333333291;43,583333333256
1594395;0,69999999983702;1,4666666667326;38,900000000023;1,5999999999767;41,966666666733;42,66666666657
1584544;0,60000000003492;1,5666666667094;40,916666666628;1,8333333333721;44,316666666709;44,916666666744
1584542;10,716666666674;1,6166666666977;43,58333333343;1,4166666665697;46,616666666698;57,333333333372
1594399;0,88333333324408;1,3333333333139;37,350000000035;12,933333333407;51,616666666756;52,5
1584531;0,66666666674428;3,3333333333721;38,083333333314;19,166666666628;60,583333333314;61,250000000058
1615039;0,63333333330229;8,1833333332906;40,183333333349;0,91666666668607;49,283333333326;49,916666666628
1584528;0,78333333344199;1,7833333332092;43,933333333349;33;78,716666666558;79,5
1568064;0,66666666674428;1,4166666665697;42,75;17,666666666628;61,833333333198;62,499999999942
1568067;0,66666666674428;1,7833333332092;41,066666666768;16,233333333337;59,083333333314;59,750000000058
1584535;0,83333333325572;1,5;47,166666666744;3,2499999999418;51,916666666686;52,749999999942
1594391;0,84999999997672;1,4333333332906;36,633333333477;2,5833333331975;40,649999999965;41,499999999942
1604770;2,25;2,0833333333139;39,533333333326;1,3000000000466;42,916666666686;45,166666666686
1604768;0,58333333331393;15,116666666698;43,766666666663;1,2833333333256;60,166666666686;60,75
1604769;0,55000000004657;1,6333333334187;39,149999999965;1,4166666665697;42,199999999953;42,75
1604767;0,71666666673264;14,216666666558;42,816666666709;4,8333333333721;61,86666666664;62,583333333372
1584572;0,75;1,5166666665464;40,150000000081;14,000000000058;55,666666666686;56,416666666686
1584571;0,58333333331393;1,5833333334303;39,633333333302;1,6999999999534;42,916666666686;43,5
1584568;0,91666666668607;25,450000000012;12,149999999965;2,3999999999651;39,999999999942;40,916666666628
1584563;0,58333333331393;2,216666666558;41,200000000012;2,4166666666861;45,833333333256;46,41666666657
1584548;8,983333333279;1,516666666721;38,91666666657;3,0833333334303;43,516666666721;52,5
1604771;0,70000000001164;1,1833333333489;44,750000000058;1,6833333332324;47,61666666664;48,316666666651
1627034;0,70000000001164;1,8000000001048;39,083333333256;17,583333333372;58,466666666733;59,166666666744
1627055;0,63333333330229;2,0500000000466;37,699999999953;Valor Discrepante;Valor Discrepante;Valor Discrepante
1647954;0,65000000002328;3,6000000000349;37,749999999942;3;44,349999999977;45
1647953;0,75;1,3833333334769;38,233333333279;0,88333333324408;40,5;41,25
1647950;4,3666666665813;2,8500000000349;43,033333333384;1,5;47,383333333419;51,75
1604779;0,56666666676756;1,483333333279;40,816666666651;11,966666666733;54,266666666663;54,83333333343
1647952;6;5,5166666666628;35,816666666768;3,4166666666279;44,750000000058;50,750000000058
1604778;0,56666666659294;1,2666666667792;38,083333333314;1,6666666666861;41,016666666779;41,583333333372
1604776;1,0499999999302;1,3666666667559;40,916666666628;1,4166666667443;43,700000000128;44,750000000058
1604774;0,66666666674428;1,7499999999418;40,383333333302;4,5;46,633333333244;47,299999999988
1604777;0,75;1,8999999999069;40,900000000081;1,4500000000116;44,25;45
1647990;1,0833333333721;5,8666666665813;36,216666666674;1,7500000001164;43,833333333372;44,916666666744
1647949;0,75;1,4500000000116;39,633333333302;1,4166666667443;42,500000000058;43,250000000058
1647995;0,55000000004657;31,583333333256;37,283333333326;1,6666666666861;70,533333333267;71,083333333314
1627056;0,78333333344199;1,4500000000116;45,933333333232;12,83333333343;60,216666666674;61,000000000116
1647939;0,76666666654637;1,6500000001397;44,333333333256;5,5833333333721;51,566666666768;52,333333333314
1647938;0,91666666668607;1,8333333333721;49,41666666657;2,8333333333139;54,083333333256;54,999999999942
1647941;0,68333333346527;1,3666666665813;37,683333333407;26,09999999986;65,149999999849;65,833333333314
1647944;2,8500000000349;2,4833333332208;41,716666666791;9,5333333333256;53,733333333337;56,583333333372
1647933;0,63333333347691;1,7999999999302;39,700000000012;20,200000000012;61,699999999953;62,33333333343
1647929;0,6166666665813;1,5499999999884;46,750000000116;2,5833333331975;50,883333333302;51,499999999884
1567998;0,66666666656965;2,3499999999767;44,316666666709;5,6666666666279;52,333333333314;52,999999999884
1647945;0,75;1,5833333332557;40,266666666779;21,566666666593;63,416666666628;64,166666666628
